,location_key,date,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,population_male,population_female,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
46,GB_UKG,2020-02-16,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,1.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,8.201389,4.638889,12.0,28.321,0.0,5.458333,82.878221
47,GB_UKG,2020-02-17,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,1.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,6.790123,4.197531,10.154321,6.434667,0.0,2.722222,75.329806
48,GB_UKG,2020-02-18,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,1.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,6.092593,3.907407,9.092593,1.342571,0.0,2.858025,79.849155
49,GB_UKG,2020-02-19,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,1.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,5.845679,2.160494,8.783951,4.275667,0.0,3.481481,84.800326
50,GB_UKG,2020-02-20,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,1.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,7.083333,3.583333,10.333333,1.143,0.0,3.819444,79.760417
51,GB_UKG,2020-02-21,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,1.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,7.701389,3.659722,10.173611,3.725333,0.0,4.222222,78.674616
52,GB_UKG,2020-02-22,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,1.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,9.847222,7.840278,11.847222,0.296333,0.0,5.409722,73.943114
53,GB_UKG,2020-02-23,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,1.0,0.0,2.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,8.734568,5.246914,12.444444,5.370286,0.0,4.407407,74.330015
54,GB_UKG,2020-02-24,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,2.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,8.91358,5.123457,12.932099,1.905,0.0,6.055556,82.31442
55,GB_UKG,2020-02-25,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,2.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,4.530864,2.067901,7.191358,7.027333,0.0,1.401235,80.215817
56,GB_UKG,2020-02-26,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,2.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,4.074074,1.740741,7.179012,2.54,0.0,-0.018519,74.778459
57,GB_UKG,2020-02-27,Q48038,nuts/UKG,GB,United Kingdom,UKG,"West Midlands, England",GB,GBR,1,0.0,0.0,2.0,0.0,5907872,2928079,2979793,453.2,733599,700837,797731,752443,726835,780384,616256,500959,298828,211892434800,35872,151283,52.47,-2.29,13004,80.8,3.930556,0.819444,7.361111,2.243667,0.0,0.111111,76.228121
